start,end,duration_days,max_intensity_degC,mean_intensity_degC
1987-09-15,1987-09-29,15,0.8003011703491225,0.4776701354980467
1990-01-26,1990-02-09,15,0.17979812622070312,0.10070905049641952
1990-02-23,1990-02-28,6,0.10988721847534144,0.0686868349711099
1990-03-11,1990-03-31,21,0.3849575042724602,0.24359909239269414
1994-08-10,1994-08-18,9,0.281383895874022,0.19581718444824148
1994-08-30,1994-09-13,15,0.3117395401000991,0.14284172058105493
1995-02-22,1995-03-01,8,0.12915449142456126,0.06995613574981685
1997-02-13,1997-02-17,5,0.12494421005249023,0.06488817214965792
1998-04-12,1998-04-16,5,0.09753885269165075,0.06230484008789041
1999-05-31,1999-06-13,14,0.6868225097656264,0.3169741630554199
1999-11-16,1999-11-20,5,0.19889373779296804,0.11565021514892634
2000-05-15,2000-05-22,8,0.21984176635742259,0.11754436492919895
2000-12-07,2000-12-31,25,0.3605600357055678,0.22717076110839826
2001-01-06,2001-01-21,16,0.19550333023071254,0.1055601358413697
2001-03-06,2001-03-15,10,0.4611713409423821,0.16692880630493132
2001-03-18,2001-04-12,26,0.7282472610473629,0.3381423510037933
2001-05-29,2001-06-03,6,0.3792236328125007,0.2205236117045087
2001-10-09,2001-10-27,19,0.6189836502075181,0.3341113943802684
2002-03-07,2002-03-24,18,0.5583717346191399,0.17904596328735323
2003-05-04,2003-05-21,18,0.6832506179809563,0.34846299489339194
2003-06-03,2003-07-16,44,1.4588415145874016,0.6479570692235773
2003-07-18,2003-09-04,49,0.9984476089477532,0.5776445739123285
2003-11-24,2003-12-03,10,0.12067241668701101,0.07035564422607443
2004-10-21,2004-11-14,25,0.5502218246459947,0.31301581573486315
2004-12-08,2004-12-15,8,0.22229118347167898,0.11610555648803667
2006-04-20,2006-04-25,6,0.16484336853027415,0.10277126630147304
2006-05-20,2006-05-30,11,0.755274772644043,0.36116815046830647
2006-06-28,2006-07-03,6,0.3008460998535156,0.17270692189534506
2006-07-14,2006-08-05,23,0.4711883544921882,0.2611195854518723
2007-01-01,2007-01-05,5,0.16729106903076207,0.10977008819580085
2007-01-08,2007-01-27,20,0.39768276214599574,0.15377015590667736
2007-02-13,2007-02-17,5,0.17669248580932617,0.13517988204956027
2007-03-01,2007-03-09,9,0.37699518203735316,0.20003998014662017
2007-04-22,2007-05-01,10,0.3804557800292976,0.11482397079467752
2007-05-12,2007-05-17,6,0.39660472869872976,0.2068950335184733
2008-02-29,2008-03-05,6,0.31786642074584925,0.16511581738789913
2008-09-06,2008-09-13,8,0.10061435699462962,0.05571744441986137
2009-05-22,2009-05-29,8,0.45752620697021484,0.2878309488296513
2009-06-08,2009-06-20,13,0.39281272888183594,0.2506986471322868
2009-07-05,2009-07-11,7,0.23060646057128764,0.14399127960205046
2009-09-02,2009-09-06,5,0.21307506561279155,0.1294135284423831
2009-10-07,2009-10-14,8,0.30355911254882884,0.16751582622528138
2009-12-29,2010-01-09,12,0.24002447128295934,0.14899854660034176
2010-04-17,2010-05-05,19,0.7319824218749993,0.2941700634203457
2010-07-17,2010-07-24,8,0.4903593063354492,0.32055225372314444
2010-12-01,2010-12-10,10,0.26514835357665945,0.15147115707397418
2011-01-13,2011-01-18,6,0.2120367050170895,0.12914036115010585
2011-02-06,2011-02-12,7,0.14782028198242259,0.07419147491455089
2011-04-01,2011-04-21,21,0.6320036888122562,0.2652140662783665
2011-09-05,2011-09-28,24,1.0689798355102553,0.5054162740707399
2011-09-30,2011-10-08,9,0.27642555236816335,0.14835111829969666
2011-12-11,2011-12-25,15,0.35343475341796804,0.13270696004231772
2012-01-01,2012-01-07,7,0.23076429367065465,0.14581939152308873
2012-03-27,2012-04-02,7,0.27342739105224645,0.16525703157697386
2012-04-05,2012-04-09,5,0.5374199867248528,0.2858417320251462
2012-05-05,2012-05-13,9,0.42159557342529297,0.2407310485839847
2012-06-18,2012-07-01,14,0.5115890502929688,0.3689495359148301
2012-07-05,2012-07-16,12,0.8570104598999038,0.5102368990580238
2012-08-02,2012-08-31,30,0.8498741149902358,0.5362988344828286
2012-09-19,2012-12-06,79,1.1096109390258775,0.5155422935002966
2013-01-30,2013-02-05,7,0.21918478012084996,0.1345241546630864
2013-04-13,2013-04-19,7,0.4189656257629384,0.25303321565900483
2013-04-26,2013-05-11,16,0.9136564254760735,0.5607744574546814
2013-07-25,2013-07-29,5,0.2405096054077127,0.1341495895385741
2013-10-28,2013-11-18,22,0.2616857528686509,0.1433250947432085
2014-01-01,2014-02-25,56,0.5296141624450676,0.3027468153408596
2014-03-19,2014-03-23,5,0.26363830566406143,0.15916156768798792
2014-04-08,2014-05-02,25,0.6920734405517575,0.3254338569641111
2014-06-10,2014-06-15,6,0.42641105651855327,0.2515391349792478
2014-08-11,2014-08-15,5,0.3321012496948228,0.20444030761718607
2014-09-05,2014-09-27,23,0.9607410430908203,0.5353234995966375
2014-09-30,2015-01-06,99,1.2201789855957017,0.4776400903258661
2015-01-10,2015-02-07,29,0.25644283294677805,0.18181912323524232
2015-04-14,2015-04-21,8,0.3255103111267079,0.15217920541763275
2015-04-24,2015-04-28,5,0.08582267761230611,0.04803619384765625
2015-05-01,2015-05-20,20,0.8554279327392571,0.489578685760498
2015-06-03,2015-06-12,10,0.34932422637939453,0.2282761383056638
2015-07-07,2015-08-22,47,1.1142219543457017,0.6720098738974711
2015-08-30,2015-09-30,32,0.6245874404907212,0.3966598570346833
2015-10-05,2015-10-23,19,0.6935787200927734,0.27325209567421394
2015-10-26,2015-10-30,5,0.06088371276855398,0.026043853759765766
2015-11-08,2016-03-07,121,0.8551568984985352,0.4771432655901949
2016-03-25,2016-05-01,38,1.4547442436218265,0.5864466842852138
2016-06-05,2016-06-09,5,0.25678787231445455,0.14974094390869155
2016-07-06,2016-07-14,9,0.7338508605957017,0.39580264621310707
2016-09-01,2016-09-26,26,0.5557844161987298,0.31879111803494986
2016-09-29,2017-01-06,100,0.7495685577392557,0.45767868995666505
2017-03-01,2017-03-12,12,0.15345535278320277,0.07542895476023359
2017-03-20,2017-04-20,32,0.9353157043457028,0.35743353068828554
2017-05-14,2017-05-18,5,0.46614151000976634,0.33368618011474566
2017-05-25,2017-07-03,40,1.201126289367675,0.6399054098129275
2017-07-07,2017-07-17,11,0.9123424530029283,0.5382772098888047
2017-07-31,2017-08-14,15,0.8127588272094712,0.44316963195800746
2017-08-16,2017-08-20,5,0.24303417205810618,0.19684768676757827
2017-10-12,2017-10-23,12,0.41246795654296875,0.1744483788808188
2018-01-05,2018-01-09,5,0.10004711151123047,0.05664043426513672
2018-01-19,2018-01-25,7,0.09513530731201136,0.058725983755929335
2018-01-29,2018-02-05,8,0.17034149169921875,0.10572140216827441
2018-02-07,2018-02-12,6,0.1067174911499027,0.06756548881530773
2018-04-12,2018-06-25,75,1.451468658447265,0.6760000368754068
2018-07-08,2018-07-17,10,0.5365495681762695,0.30383125305175723
2018-07-19,2018-09-26,70,1.4751548767089844,0.8487020519801548
2018-10-09,2018-10-26,18,0.47117061614990163,0.2778910213046605
2018-11-09,2018-12-06,28,0.30299205780029226,0.17210290091378358
2018-12-08,2018-12-17,10,0.15319347381591797,0.0724597740173337
2018-12-22,2019-01-09,19,0.2521165847778324,0.10090429908350881
2019-06-16,2019-07-14,29,1.0298353195190444,0.5534059919159989
2019-07-20,2019-07-27,8,0.4361480712890611,0.29558050632476807
2019-08-08,2020-03-16,222,1.0146350860595703,0.4297174273310481
2020-04-10,2020-04-20,11,0.35452842712402344,0.19481991854580938
2020-04-25,2020-05-06,12,0.4307176589965813,0.2782005310058591
2020-05-14,2020-05-23,10,0.6143741607666016,0.3361358451843259
2020-07-30,2020-08-04,6,0.4710979461669922,0.3747593879699706
2020-08-08,2021-04-03,239,1.438949394226075,0.5678494122237842
2021-04-30,2021-05-04,5,0.35673446655273366,0.12955738067626896
2021-06-27,2021-07-12,16,0.28795089721679545,0.19923492670059173
2021-07-29,2021-10-21,85,1.0675970077514663,0.39220470877254715
2021-11-07,2021-12-05,29,0.5779714584350586,0.2928291123488854
2021-12-30,2022-02-23,56,0.3419203758239746,0.16703375918524616
2022-05-15,2022-05-20,6,0.9120491027832038,0.4862293561299638
2022-05-26,2022-09-26,124,1.24687213897705,0.7229363549140191
2022-10-09,2023-04-03,177,1.5287993431091298,0.689214757068009
2023-04-10,2023-04-18,9,0.1929301261901859,0.09424113167656757
2023-04-23,2023-05-02,10,0.4199745178222649,0.2575133895874021
2023-06-23,2023-06-30,8,0.21296653747558736,0.0753658294677737
2023-07-04,2023-08-07,35,2.1425970077514656,1.0303099223545618
2023-08-11,2024-05-01,265,1.8151066780090321,0.8490386833334869
2024-06-02,2024-06-27,26,0.994807243347168,0.5101854471059948
2024-07-08,2024-12-31,177,1.9741445541381815,1.0429130489543332
